r,pixels,area,perimeter
0.0004631011662983711,9,0.0013523302370074953,0.33895086407372355
0.0009262023325967422,18,0.0015060814520874554,0.3348888453822146
0.0013893034988951133,27,0.0016585247095257845,0.3324666044928937
0.0018524046651934845,36,0.0018102425005798893,0.33083783529912547
0.0023155058314918557,45,0.0019612348252497696,0.32957051901375534
0.0027786069977902266,54,0.0021118670644150717,0.3285726635639377
0.0032417081640885976,63,0.002262075673574987,0.327653458304737
0.003704809330386969,72,0.0024119665602308623,0.32684804622228636
0.00416791049668534,81,0.0025614338168813517,0.3260692372299818
0.004631011662983711,90,0.0027106468955286084,0.32529961529474327
0.005094112829282082,99,0.0028595687285471625,0.32433073742933144
0.005557213995580453,108,0.003008013977809657,0.3233828658982732
0.006020315161878824,117,0.00315616268606838,0.3224459297602625
0.006483416328177195,126,0.0033038295151959765,0.32114493067416044
0.006946517494475566,135,0.0034513268923214184,0.32026009110116155
0.007409618660773938,144,0.003598194119813848,0.319153990550997
0.007872719827072308,153,0.003744415311548063,0.3182198277641804
0.00833582099337068,162,0.003890032830524602,0.3169202164332586
0.008798922159669051,171,0.0040351737657450815,0.31580603903017235
0.009262023325967423,180,0.004179695142082684,0.3147760773637257
